,objID,modelMag_u,modelMag_g,modelMag_r,RA_x,DEC_x,type,bestObjID,RA_y,DEC_y,z,u_g,g_r
435,1.237671939804562e+18,20.3571,18.21394,17.31192,258.230847152985,64.0292541978407,3.0,1.237671939804562e+18,258.23101,64.029253,0.08105769,2.143159999999998,0.9020200000000003
436,1.237671939804562e+18,19.72405,18.281270000000003,17.638270000000002,258.230950966989,64.03240902455849,3.0,1.237671939804562e+18,258.23112000000003,64.03242900000001,0.08127932,1.4427799999999955,0.6430000000000007
437,1.237671939804563e+18,24.04622,23.13462,22.09581,258.231103866875,64.007193645585,3.0,,,,,0.9116,1.0388100000000016
438,1.237671939804627e+18,19.04141,17.071170000000002,16.15865,258.343897713927,64.04899075044729,3.0,,,,,1.9702399999999969,0.9125200000000007
439,1.237671939804628e+18,22.28296,20.40585,19.65939,258.381510765723,64.1089068814883,3.0,,,,,1.8771099999999983,0.7464600000000026
440,1.2376719398046275e+18,24.445,24.11206,23.03516,258.382753536393,64.01029311029039,3.0,,,,,0.3329400000000007,1.0768999999999984
445,1.2376719398045624e+18,22.27669,21.955389999999998,20.80173,258.076706331744,63.9991731006685,3.0,,,,,0.3213000000000008,1.1536599999999986
448,1.2376513110700196e+18,24.372629999999997,23.6095,22.6658,258.343382261863,64.07355739082729,3.0,,,,,0.7631299999999968,0.9436999999999998
450,1.2376513110699548e+18,22.16319,20.696720000000003,19.83176,258.381537427885,64.10892574902799,3.0,,,,,1.4664699999999975,0.8649600000000035
453,1.2376512976482473e+18,20.24181,18.16848,17.25303,258.23090382215304,64.02926349488979,3.0,,,,,2.073330000000002,0.9154499999999999
454,1.2376512976482473e+18,20.3525,18.34194,17.42047,258.07710773046904,64.0080781781269,3.0,,,,,2.010559999999998,0.9214699999999993
455,1.2376719398046285e+18,25.80741,24.26,23.86617,258.342711330591,64.03771673159679,3.0,,,,,1.5474099999999993,0.39383000000000123
457,1.2376719398046282e+18,22.151770000000003,22.753439999999998,21.58238,258.38166611549997,64.01691400625111,3.0,,,,,-0.601669999999995,1.171059999999997
459,1.2376719398045624e+18,23.0623,22.72331,22.05041,258.157277101009,64.1037712744367,3.0,,,,,0.338989999999999,0.672900000000002
461,1.2376513110700196e+18,18.98775,17.01999,16.121370000000002,258.34389059345904,64.04899080025051,3.0,,,,,1.9677599999999984,0.8986199999999975
462,1.2376512976482473e+18,19.64793,18.29642,17.6146,258.231005962849,64.0324426654799,3.0,,,,,1.3515099999999975,0.6818200000000019
463,1.2376512976483133e+18,24.18733,25.57764,22.4242,258.231266815655,64.00708794044371,3.0,,,,,-1.3903099999999995,3.15344
469,1.2376512976482478e+18,24.954179999999997,23.211270000000003,22.17525,258.085784198456,64.1032575582879,3.0,,,,,1.7429099999999949,1.0360200000000042
472,1.2376512976483126e+18,20.13792,18.13764,17.22567,258.13223895087003,63.9973404023306,3.0,,,,,2.00028,0.9119700000000002
473,1.2376512976483128e+18,23.46708,21.50812,19.611179999999997,258.28386769953,64.01063612066301,3.0,,,,,1.9589599999999976,1.8969400000000043
